cid,eid1,eid2,eid3,xy
0,0,1,2,"[[8.356666666667, 10.2], [8.113333333333, 10.01], [8.489169167098, 9.829154465426], [8.356666666667, 10.2]]"
1,3,4,5,"[[28.652547879204, 13.622504142581], [28.415660800046002, 13.295316398426001], [28.764326141136998, 13.235047815109], [28.652547879204, 13.622504142581]]"
2,6,7,8,"[[3.174587048053, 3.0872855601279996], [3.4314929593790002, 2.709653804496], [3.687289016475, 3.069021080454], [3.174587048053, 3.0872855601279996]]"
3,9,10,11,"[[17.024313333475, 13.514102825052], [16.659603610239, 13.613806948588], [16.681521313072, 13.162936807708002], [17.024313333475, 13.514102825052]]"
4,12,13,14,"[[21.668080707915, 13.830772457111001], [21.873333333333, 14.19], [21.526666666666998, 14.19], [21.668080707915, 13.830772457111001]]"
5,15,16,17,"[[0.45666666666699995, 1.2233333333329999], [0.7314591130689999, 0.872794465231], [0.8418432524959999, 1.191438881768], [0.45666666666699995, 1.2233333333329999]]"
6,18,19,17,"[[1.104167699931, 1.42489960814], [0.583333333333, 1.5166666666670001], [0.8418432524959999, 1.191438881768], [1.104167699931, 1.42489960814]]"
7,20,21,22,"[[0.535388520235, 0.197992030365], [0.382984428142, -0.129208566158], [0.8501756569399999, -0.344441649274], [0.535388520235, 0.197992030365]]"
8,23,24,25,"[[3.3233333333329997, 5.553333333333], [3.096666666667, 5.376666666667], [3.425251080059, 5.196468039049], [3.3233333333329997, 5.553333333333]]"
9,16,15,26,"[[0.7314591130689999, 0.872794465231], [0.45666666666699995, 1.2233333333329999], [0.33, 0.93], [0.7314591130689999, 0.872794465231]]"
10,27,28,29,"[[1.3210970195799998, 2.140550021619], [1.466715719587, 2.5397177204859998], [0.983333333333, 2.47], [1.3210970195799998, 2.140550021619]]"
11,30,31,32,"[[1.323333333333, 3.006666666667], [1.657984294655, 2.868864678661], [1.5266666666670001, 3.213333333333], [1.323333333333, 3.006666666667]]"
12,33,34,35,"[[5.036214932103, 6.824951066504], [5.348485529694, 7.001147967107], [4.95, 7.22], [5.036214932103, 6.824951066504]]"
13,36,37,38,"[[36.943333333333, 13.246666666666998], [37.028814031426, 12.911619642311], [37.3, 13.19], [36.943333333333, 13.246666666666998]]"
